time_index,sea_height
2010091613,105
2010091614,103
2010091615,97
2010091616,97
2010091617,83
2010091618,76
2010091619,73
2010091620,73
2010091621,75
2010091622,80
2010091623,85
201009170 ,85
201009171 ,90
201009172 ,89
201009173 ,85
201009174 ,85
201009175 ,73
201009176 ,67
201009177 ,65
201009178 ,65
201009179 ,68
2010091710,74
2010091711,80
2010091712,80
2010091713,90
2010091714,93
2010091715,92
2010091716,92
2010091717,82
2010091718,76
2010091719,70
2010091720,70
2010091721,65
2010091722,66
2010091723,68
201009180 ,68
201009181 ,74
201009182 ,76
201009183 ,76
201009184 ,76
201009185 ,69
201009186 ,64
201009187 ,59
201009188 ,59
201009189 ,56
2010091810,57
2010091811,61
2010091812,61
2010091813,71
2010091814,76
2010091815,79
2010091816,79
2010091817,78
2010091818,74
2010091819,69
2010091820,69
2010091821,61
2010091822,59
2010091823,60
201009190 ,60
201009191 ,65
201009192 ,70
201009193 ,73
201009194 ,73
201009195 ,76
201009196 ,74
201009197 ,71
201009198 ,71
201009199 ,66
2010091910,66
2010091911,67
2010091912,67
2010091913,75
2010091914,81
2010091915,86
2010091916,86
2010091917,91
2010091918,90
2010091919,86
2010091920,86
2010091921,75
2010091922,70
2010091923,66
201009200 ,66
201009201 ,67
201009202 ,71
201009203 ,76
201009204 ,76
201009205 ,84
201009206 ,86
201009207 ,85
201009208 ,85
201009209 ,78
2010092010,75
2010092011,73
2010092012,73
2010092013,76
2010092014,81
2010092015,88
2010092016,88
2010092017,98
2010092018,101
2010092019,99
2010092020,99
2010092021,89
2010092022,81
2010092023,73
201009210 ,73
201009211 ,67
201009212 ,69
201009213 ,74
201009214 ,74
201009215 ,84
201009216 ,89
201009217 ,91
201009218 ,91
201009219 ,85
2010092110,80
2010092111,75
2010092112,75
2010092113,72
2010092114,75
2010092115,82
2010092116,82
2010092117,95
2010092118,101
2010092119,103
2010092120,103
2010092121,95
2010092122,86
2010092123,77
201009220 ,77
201009221 ,66
201009222 ,66
201009223 ,69
201009224 ,69
201009225 ,82
201009226 ,88
201009227 ,93
201009228 ,93
201009229 ,90
2010092210,84
2010092211,76
2010092212,76
2010092213,68
2010092214,69
2010092215,74
2010092216,74
2010092217,89
2010092218,97
2010092219,102
2010092220,102
2010092221,98
2010092222,89
2010092223,77
201009230 ,77
201009231 ,61
201009232 ,57
201009233 ,58
201009234 ,58
201009235 ,70
201009236 ,78
201009237 ,84
201009238 ,84
201009239 ,83
2010092310,77
2010092311,68
2010092312,68
2010092313,54
2010092314,51
2010092315,53
2010092316,53
2010092317,67
2010092318,76
2010092319,83
2010092320,83
2010092321,85
2010092322,79
2010092323,69
201009240 ,69
201009241 ,51
201009242 ,46
201009243 ,46
201009244 ,46
201009245 ,59
201009246 ,69
201009247 ,78
201009248 ,78
201009249 ,85
2010092410,82
2010092411,74
2010092412,74
2010092413,58
2010092414,53
2010092415,53
2010092416,53
2010092417,64
2010092418,74
2010092419,83
2010092420,83
2010092421,89
2010092422,85
2010092423,76
201009250 ,76
201009251 ,55
201009252 ,48
201009253 ,46
201009254 ,46
201009255 ,55
201009256 ,66
201009257 ,76
201009258 ,76
201009259 ,87
2010092510,86
2010092511,80
2010092512,80
2010092513,63
2010092514,55
2010092515,52
2010092516,52
2010092517,61
2010092518,70
2010092519,80
2010092520,80
2010092521,91
2010092522,90
2010092523,83
201009260 ,83
201009261 ,63
201009262 ,53
201009263 ,49
201009264 ,49
201009265 ,56
201009266 ,66
201009267 ,77
201009268 ,77
201009269 ,93
2010092610,95
2010092611,91
2010092612,91
2010092613,76
2010092614,67
2010092615,63
2010092616,63
2010092617,68
2010092618,76
2010092619,85
2010092620,85
2010092621,98
2010092622,99
2010092623,94
201009270 ,94
201009271 ,77
201009272 ,68
201009273 ,63
201009274 ,63
201009275 ,68
201009276 ,78
201009277 ,90
201009278 ,90
201009279 ,108
2010092710,113
2010092711,111
2010092712,111
2010092713,97
2010092714,87
2010092715,81
2010092716,81
2010092717,81
2010092718,87
2010092719,96
2010092720,96
2010092721,110
2010092722,112
2010092723,110
201009280 ,110
201009281 ,94
201009282 ,83
201009283 ,75
201009284 ,75
201009285 ,74
201009286 ,81
201009287 ,91
201009288 ,91
201009289 ,109
2010092810,115
2010092811,116
2010092812,116
2010092813,105
2010092814,95
2010092815,87
2010092816,87
2010092817,82
2010092818,86
2010092819,93
2010092820,93
2010092821,107
2010092822,111
2010092823,111
201009290 ,111
201009291 ,99
201009292 ,88
201009293 ,78
201009294 ,78
201009295 ,72
201009296 ,76
201009297 ,84
201009298 ,84
201009299 ,103
2010092910,111
2010092911,114
2010092912,114
2010092913,107
2010092914,98
2010092915,89
2010092916,89
2010092917,80
2010092918,82
2010092919,87
2010092920,87
2010092921,100
2010092922,106
2010092923,109
201009300 ,109
201009301 ,102
201009302 ,93
201009303 ,83
201009304 ,83
201009305 ,74
201009306 ,75
201009307 ,81
201009308 ,81
201009309 ,98
2010093010,107
2010093011,113
2010093012,113
2010093013,112
2010093014,105
2010093015,96
2010093016,96
2010093017,84
2010093018,83
2010093019,85
2010093020,85
2010093021,95
2010093022,101
2010093023,105
201010010 ,105
201010011 ,103
201010012 ,97
201010013 ,89
201010014 ,89
201010015 ,77
201010016 ,75
201010017 ,77
201010018 ,77
201010019 ,89
2010100110,98
2010100111,105
2010100112,105
2010100113,109
2010100114,106
2010100115,100
2010100116,100
2010100117,88
2010100118,84
2010100119,83
2010100120,83
2010100121,88
2010100122,94
2010100123,99
201010020 ,99
201010021 ,103
201010022 ,101
201010023 ,96
201010024 ,96
201010025 ,86
201010026 ,82
201010027 ,82
201010028 ,82
201010029 ,90
2010100210,98
2010100211,105
2010100212,105
2010100213,114
2010100214,115
2010100215,112
2010100216,112
2010100217,102
2010100218,96
2010100219,92
2010100220,92
2010100221,92
2010100222,95
2010100223,99
201010030 ,99
201010031 ,106
201010032 ,108
201010033 ,106
201010034 ,106
201010035 ,99
201010036 ,94
201010037 ,91
201010038 ,91
201010039 ,92
2010100310,96
2010100311,102
2010100312,102
2010100313,113
2010100314,117
2010100315,118
2010100316,118
2010100317,112
2010100318,106
2010100319,100
2010100320,100
2010100321,93
2010100322,92
2010100323,94
201010040 ,94
201010041 ,101
201010042 ,105
201010043 ,108
201010044 ,108
201010045 ,106
201010046 ,102
201010047 ,98
201010048 ,98
201010049 ,93
2010100410,93
2010100411,95
2010100412,95
2010100413,104
2010100414,110
2010100415,114
2010100416,114
2010100417,114
2010100418,109
2010100419,102
2010100420,102
2010100421,89
2010100422,83
2010100423,81
201010050 ,81
201010051 ,85
201010052 ,90
201010053 ,95
201010054 ,95
201010055 ,101
201010056 ,100
201010057 ,96
201010058 ,96
201010059 ,87
2010100510,83
2010100511,82
2010100512,82
2010100513,88
2010100514,96
2010100515,103
2010100516,103
2010100517,113
2010100518,114
2010100519,110
2010100520,110
2010100521,97
2010100522,89
2010100523,84
201010060 ,84
201010061 ,86
201010062 ,92
201010063 ,101
201010064 ,101
201010065 ,116
201010066 ,121
201010067 ,121
201010068 ,121
201010069 ,113
2010100610,107
2010100611,102
2010100612,102
2010100613,103
2010100614,110
2010100615,119
2010100616,119
2010100617,134
2010100618,138
2010100619,137
2010100620,137
2010100621,124
2010100622,112
2010100623,101
201010070 ,101
201010071 ,92
201010072 ,95
201010073 ,101
201010074 ,101
201010075 ,118
201010076 ,125
201010077 ,129
201010078 ,129
201010079 ,121
2010100710,112
2010100711,103
2010100712,103
2010100713,95
2010100714,97
2010100715,105
2010100716,105
2010100717,123
2010100718,132
2010100719,136
2010100720,136
2010100721,128
2010100722,117
2010100723,103
201010080 ,103
201010081 ,87
201010082 ,87
201010083 ,92
201010084 ,92
201010085 ,110
201010086 ,121
201010087 ,129
201010088 ,129
201010089 ,128
2010100810,119
2010100811,108
2010100812,108
2010100813,94
2010100814,93
2010100815,98
2010100816,98
2010100817,117
2010100818,129
2010100819,138
2010100820,138
2010100821,138
2010100822,130
2010100823,117
201010090 ,117
201010091 ,97
201010092 ,92
201010093 ,94
201010094 ,94
201010095 ,111
201010096 ,124
201010097 ,135
201010098 ,135
201010099 ,141
2010100910,134
2010100911,122
2010100912,122
2010100913,100
2010100914,93
2010100915,92
2010100916,92
2010100917,104
2010100918,115
2010100919,124
2010100920,124
2010100921,129
2010100922,122
2010100923,109
201010100 ,109
201010101 ,84
201010102 ,75
201010103 ,72
201010104 ,72
201010105 ,85
201010106 ,97
201010107 ,110
201010108 ,110
201010109 ,123
2010101010,122
2010101011,113
2010101012,113
2010101013,92
2010101014,82
2010101015,79
2010101016,79
2010101017,88
2010101018,99
2010101019,111
2010101020,111
2010101021,125
2010101022,124
2010101023,115
201010110 ,115
201010111 ,91
201010112 ,79
201010113 ,72
201010114 ,72
201010115 ,78
201010116 ,89
201010117 ,102
201010118 ,102
201010119 ,120
2010101110,123
2010101111,118
2010101112,118
2010101113,98
2010101114,85
2010101115,77
2010101116,77
2010101117,78
2010101118,86
2010101119,97
2010101120,97
2010101121,114
2010101122,117
2010101123,113
201010120 ,113
201010121 ,92
201010122 ,79
201010123 ,70
201010124 ,70
201010125 ,69
201010126 ,77
201010127 ,89
201010128 ,89
201010129 ,109
2010101210,115
2010101211,115
2010101212,115
2010101213,99
2010101214,85
2010101215,74
2010101216,74
2010101217,67
2010101218,71
2010101219,80
2010101220,80
2010101221,98
2010101222,104
2010101223,105
201010130 ,105
201010131 ,93
201010132 ,82
201010133 ,73
201010134 ,73
201010135 ,68
201010136 ,73
201010137 ,83
201010138 ,83
201010139 ,103
2010101310,112
2010101311,116
2010101312,116
2010101313,108
2010101314,97
2010101315,86
2010101316,86
2010101317,75
2010101318,76
2010101319,81
2010101320,81
2010101321,95
2010101322,102
2010101323,106
201010140 ,106
201010141 ,100
201010142 ,91
201010143 ,81
201010144 ,81
201010145 ,71
201010146 ,72
201010147 ,78
201010148 ,78
201010149 ,95
2010101410,104
2010101411,110
2010101412,110
2010101413,110
2010101414,104
2010101415,94
2010101416,94
2010101417,81
2010101418,79
2010101419,82
2010101420,82
2010101421,94
2010101422,103
2010101423,109
201010150 ,109
201010151 ,111
201010152 ,106
201010153 ,99
201010154 ,99
201010155 ,88
201010156 ,86
201010157 ,88
201010158 ,88
201010159 ,101
2010101510,109
2010101511,117
2010101512,117
2010101513,122
2010101514,119
2010101515,113
2010101516,113
2010101517,101
2010101518,96
2010101519,96
2010101520,96
2010101521,103
2010101522,109
2010101523,115
201010160 ,115
201010161 ,120
201010162 ,120
201010163 ,116
201010164 ,116
201010165 ,109
201010166 ,106
201010167 ,107
201010168 ,107
201010169 ,114
2010101610,120
2010101611,126
2010101612,126
2010101613,132
2010101614,132
2010101615,128
2010101616,128
2010101617,117
2010101618,110
2010101619,105
2010101620,105
2010101621,102
2010101622,103
2010101623,106
201010170 ,106
201010171 ,111
201010172 ,112
201010173 ,112
201010174 ,112
201010175 ,107
201010176 ,104
201010177 ,102
201010178 ,102
201010179 ,104
2010101710,107
2010101711,112
2010101712,112
2010101713,121
2010101714,124
2010101715,125
2010101716,125
2010101717,119
2010101718,113
2010101719,106
2010101720,106
2010101721,98
2010101722,97
2010101723,97
201010180 ,97
201010181 ,102
201010182 ,105
201010183 ,107
201010184 ,107
201010185 ,107
201010186 ,104
201010187 ,101
201010188 ,101
201010189 ,97
2010101810,97
2010101811,99
2010101812,99
2010101813,106
2010101814,110
2010101815,114
2010101816,114
2010101817,113
2010101818,109
2010101819,103
2010101820,103
2010101821,91
2010101822,86
2010101823,84
201010190 ,84
201010191 ,86
201010192 ,90
201010193 ,95
201010194 ,95
201010195 ,100
201010196 ,100
201010197 ,98
201010198 ,98
201010199 ,91
2010101910,88
2010101911,87
2010101912,87
2010101913,92
2010101914,97
2010101915,102
2010101916,102
2010101917,109
2010101918,109
2010101919,105
2010101920,105
2010101921,94
2010101922,88
2010101923,84
201010200 ,84
201010201 ,84
201010202 ,89
201010203 ,96
201010204 ,96
201010205 ,107
201010206 ,110
201010207 ,111
201010208 ,111
201010209 ,105
2010102010,100
2010102011,96
2010102012,96
2010102013,96
2010102014,99
2010102015,104
2010102016,104
2010102017,113
2010102018,115
2010102019,113
2010102020,113
2010102021,101
2010102022,91
2010102023,82
201010210 ,82
201010211 ,75
201010212 ,76
201010213 ,80
201010214 ,80
201010215 ,91
201010216 ,95
201010217 ,96
201010218 ,96
201010219 ,89
2010102110,82
2010102111,74
2010102112,74
2010102113,67
2010102114,68
2010102115,72
2010102116,72
2010102117,83
2010102118,87
2010102119,88
2010102120,88
2010102121,79
2010102122,69
2010102123,59
201010220 ,59
201010221 ,48
201010222 ,48
201010223 ,52
201010224 ,52
201010225 ,66
201010226 ,74
201010227 ,79
201010228 ,79
201010229 ,77
2010102210,70
2010102211,62
2010102212,62
2010102213,52
2010102214,51
2010102215,55
2010102216,55
2010102217,68
2010102218,75
2010102219,79
2010102220,79
2010102221,76
2010102222,67
2010102223,57
201010230 ,57
201010231 ,44
201010232 ,43
201010233 ,47
201010234 ,47
201010235 ,63
201010236 ,74
201010237 ,82
201010238 ,82
201010239 ,87
2010102310,82
2010102311,75
2010102312,75
2010102313,64
2010102314,63
2010102315,66
2010102316,66
2010102317,80
2010102318,89
2010102319,96
2010102320,96
2010102321,96
2010102322,90
2010102323,81
201010240 ,81
201010241 ,67
201010242 ,65
201010243 ,68
201010244 ,68
201010245 ,84
201010246 ,96
201010247 ,107
201010248 ,107
201010249 ,116
2010102410,114
2010102411,106
2010102412,106
2010102413,90
2010102414,85
2010102415,84
2010102416,84
2010102417,93
2010102418,102
2010102419,109
2010102420,109
2010102421,112
2010102422,107
2010102423,98
201010250 ,98
201010251 ,79
201010252 ,73
201010253 ,72
201010254 ,72
201010255 ,84
201010256 ,94
201010257 ,105
201010258 ,105
201010259 ,115
2010102510,113
2010102511,106
2010102512,106
2010102513,88
2010102514,80
2010102515,76
2010102516,76
2010102517,81
2010102518,89
2010102519,97
2010102520,97
2010102521,104
2010102522,102
2010102523,94
201010260 ,94
201010261 ,76
201010262 ,68
201010263 ,64
201010264 ,64
201010265 ,73
201010266 ,83
201010267 ,95
201010268 ,95
201010269 ,111
2010102610,113
2010102611,109
2010102612,109
2010102613,93
2010102614,83
2010102615,78
2010102616,78
2010102617,80
2010102618,88
2010102619,97
2010102620,97
2010102621,110
2010102622,111
2010102623,106
201010270 ,106
201010271 ,90
